nacc_id,title,first_name,last_name,position,submitted_case,submitted_date,disclosure_announcement_date,disclosure_start_date,disclosure_end_date,agency,date_by_submitted_case,royal_start_date,create_at,submitter_id
537,นาย,ปฏิวัติ,พิจารณ์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,26/4/2023,16/5/2023,24/5/2023,19/11/2023,รัฐสภา,20/3/2023,,,154
539,นาย,อนุรักษ์,จุรีมาศ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,1/5/2023,16/5/2023,24/5/2023,19/11/2023,รัฐสภา,20/3/2023,,,97
541,ศาสตราจารย์,โกวิทย์,พวงงาม,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,8/5/2023,16/5/2023,24/5/2023,19/11/2023,รัฐสภา,8/3/2023,,,98
544,นาย,ศักดิ์สยาม,ชิดชอบ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,26/4/2023,16/5/2023,24/5/2023,19/11/2023,รัฐสภา,20/3/2023,,,69
550,ร.ต.,อ.อรุณ,สวัสดี,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,1/5/2023,23/5/2023,26/5/2023,21/11/2023,รัฐสภา,27/2/2023,,,162
558,นาย,อำไพ,กองมณี,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,1/5/2023,23/5/2023,26/5/2023,21/11/2023,รัฐสภา,20/3/2023,,,99
566,นาย,ภิญโญ,นิโรจน์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,8/5/2022,24/5/2023,29/5/2023,24/11/2023,สำนักงานเลขาธิการสภาผู้แทนราษฎร,9/3/2023,25/5/2019,,100
571,นาง,เจริญ,เรี่ยวแรง,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,8/5/2023,24/5/2023,29/5/2023,24/11/2023,สำนักงานเลขาธิการสภาผู้แทนราษฎร,6/2/2023,,,101
590,นาย,สวาป,เผ่าประทาน,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,18/5/2023,24/5/2023,31/5/2023,26/11/2023,พรรคภูมิใจไทย,20/3/2023,,,163
654,นาย,ไชยา,พรหมา,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,29/5/2023,7/6/2023,12/6/2023,8/12/2023,สำนักงานเลขาธิการสภาผู้แทนราษฎร,20/3/2023,25/5/2019,,102
663,นาย,เกื้อกูล,ด่านชัยวิจิตร,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,20/3/2023,7/6/2023,12/6/2023,8/12/2023,พรรคภูมิใจไทย สำนักงานเลขาธิการสภาผู้แทนราษฎร,25/5/2019,,,42
672,นาย,พิเชษฐ์,เชื้อเมืองพาน,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,29/5/2023,7/6/2023,12/6/2023,8/12/2023,สำนักงานเลขาธิการผู็แทนราษฎร,20/3/2023,25/5/2019,,103
673,นาย,ยอดยิ่ง,แสนยากุล,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,23/5/2023,30/5/2023,12/6/2023,8/12/2023,สำนักงานเลขาธิการสภาผู็แทนราษฎร,20/3/2023,27/12/2022,,90
676,นาย,อนุสรณ์,ปั้นทอง,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,24/5/2023,30/5/2023,12/6/2023,8/12/2023,สำนักงานเลขาธิการสภาผู้แทนราษฎร,20/3/2023,,,104
688,นาย,วราวุธ,ศิลปอาชา,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,20/3/2023,30/5/2023,12/6/2023,8/12/2023,พรรคชาติไทยพัฒนา,25/5/2019,,,43
692,นางสาว,จิราพร,นาคดิลก,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,12/5/2023,30/5/2023,12/6/2023,8/12/2023,รัฐสภา,23/2/2022,,,105
713,นาย,วิทยา,ทรงคำ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,1/6/2023,13/6/2023,16/6/2023,12/12/2023,รัฐสภา,20/3/2023,25/5/2019,,106
724,นาย,ณัฐวุฒิ,ประเสริฐสุวรรณ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,24/5/2023,12/6/2023,16/6/2023,12/12/2023,รัฐสภา,20/3/2023,,,107
774,นาย,องอาจ,คล้ามไพบูลย์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,29/5/2023,12/6/2023,16/6/2023,12/12/2023,พรรคประชาธิปัตย์,20/3/2023,,,164
776,นาย,เกรียงศักดิ์,ฝ้ายสีงาม,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,29/5/2023,12/6/2023,16/6/2023,12/12/2023,รัฐสภา,20/3/2023,,,165
789,นาย,พีระวิทย์,เรื่องลือดลภาค,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,12/6/2023,19/6/2023,23/6/2023,19/12/2023,รัฐสภา,19/10/2022,,,108
790,นาย,อรรถกร,ศิริลัทธยากร,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,12/6/2023,19/6/2023,23/6/2023,19/12/2023,รัฐสภา,20/3/2023,,,109
791,นาย,วรสิทธิ์,กัลป์ตินันท์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,12/6/2023,15/6/2023,23/6/2023,19/12/2023,สภาผู้แทนราษฎร,20/3/2023,,,110
793,นาย,ณัฐพงษ์,สุปริยศิลป์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,13/6/2023,15/6/2023,23/6/2023,19/12/2023,รัฐสภา,20/3/2023,,,111
794,นาย,เรวัต,วิศรุตเวช,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,12/6/2023,19/6/2023,23/6/2023,19/12/2023,รัฐสภา,20/3/2023,,,112
799,นาง,อนุรักษ์,บุญศล,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,12/6/2023,15/6/2023,23/6/2023,19/12/2023,รัฐสภา,20/3/2023,,,113
801,นาย,เทอดพงษ์,ไชยนันทน์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,12/6/2023,15/6/2023,23/6/2023,19/12/2023,,20/3/2023,,,114
803,นาย,ศักดา,คงเพชร,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,12/6/2023,19/6/2023,23/6/2023,19/12/2023,สำนักงานเลขาธิการสภาผู้แทนราษฎร,20/3/2023,,,115
816,นาย,จารึก,ศรีอ่อน,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,12/6/2023,19/6/2023,23/6/2023,19/12/2023,รัฐสภา,1/3/2023,,,116
820,นางสาว,ภคอร,จันทรคณา,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีเข้ารับตำแหน่ง,29/5/2023,19/6/2023,23/6/2023,19/12/2023,สำนักงานเลขาธิการสภาผู้แทนราษฎร,22/2/2023,22/2/2023,,117
886,นาย,สุรวิทย์,คนสมบูรณ์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,20/3/2023,12/6/2023,16/6/2023,12/12/2023,รัฐสภา,20/3/2023,,,118
890,นาย,ทายาท,เกียรติชูศักดิ์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,30/3/2023,13/6/2023,16/6/2023,12/12/2023,สำนักงานเลขาธิการสภาผู้แทนราษฎร,30/3/2023,,,166
898,นาย,ทศพร,ทองศิริ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,12/6/2023,27/6/2023,5/7/2023,31/12/2023,สำนักงานเลขาธิการสภาผู้แทนราษฎร,8/3/2023,,,119
905,นาย,สมศักดิ์,เทพสุทิน,รัฐมนตรีว่าการกระทรวง,กรณีพ้นจากตำแหน่ง,20/6/2023,28/6/2023,5/7/2023,31/12/2023,กระทรวงยุติธรรม,17/3/2023,25/5/2019,,62
907,นาย,เท่าพิภพ,ลิ้มจิตรกร,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,20/6/2023,27/6/2023,5/7/2023,31/12/2023,รัฐสภา,20/3/2023,,,53
933,นาย,สุภดิช,อากาศฤกษ์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,20/6/2023,27/6/2023,5/7/2023,31/12/2023,สภาผู้แทนราษฎร/รัฐสภา,15/3/2023,8/5/2019,,120
945,นาย,อุบลศักดิ์,บัวหลวงงาม,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,26/6/2023,7/7/2023,17/7/2023,12/1/2024,,15/6/2023,,,121
949,นาย,วิวรรธน์,นิลวัชรมณี,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,4/7/2023,11/7/2023,17/7/2023,12/1/2024,สำนักงานเลขาธิการสภาผู้แทนราษฎร,20/3/2023,,,122
950,นาง,ผ่องศรี,แซ่จึง,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,26/6/2023,10/7/2023,17/7/2023,12/1/2024,รัฐสภา,20/3/2023,,,123
952,นาย,สมชาย,ฝั่งชลจิตร,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,26/6/2023,10/7/2023,17/7/2023,12/1/2024,รัฐสภา,20/3/2023,,,124
975,นาย,ต่อศักดิ์,อัศวเหม,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,20/3/2023,4/7/2023,17/7/2023,12/1/2024,,15/12/2021,15/12/2021,,46
976,นาย,วัชระ,ยาวอหะซัน,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,6/7/2023,11/7/2023,17/7/2023,12/1/2024,รัฐสภา,28/2/2023,25/5/2019,,125
989,นาย,รังสิมันต์,โรม,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,15/6/2023,7/7/2023,17/7/2023,12/1/2024,รัฐสภา,25/5/2019,,,54
1029,นาย,จิรพงษ์,ทรงวัชราภรณ์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,20/3/2023,4/7/2023,17/7/2023,12/1/2024,,25/5/2019,,,126
1035,นาง,มัลลิกา,บุญมีตระกูล มหาสุข,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,26/6/2023,10/7/2023,17/7/2023,12/1/2024,สภาผู้แทนราษฎร,20/3/2023,30/8/2023,,127
1036,นาย,นพพล,เหลืองทองนารา,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,4/7/2023,11/7/2023,17/7/2023,12/1/2024,รัฐสภา,20/3/2023,,,128
1038,นาย,ทองแดง,เบ็ญจะปัก,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,4/7/2023,13/7/2023,17/7/2023,12/1/2024,สำนักงานเลขาธิการสมาผู้แทนราษฎร,20/3/2023,,,129
1039,นาย,ชาดา,ไทยเศรษฐ์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,4/7/2023,13/7/2023,17/7/2023,12/1/2024,สภาผู้แทนราษฎร,20/3/2023,,,63
1051,นาย,กฤษฎา,ตันเทอดทิตย์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,26/6/2023,11/7/2023,17/7/2023,12/1/2024,รัฐสภา,20/3/2023,,,130
1057,นาย,จักพันธ์,ปิยพรไพบูลย์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,26/6/2023,7/7/2023,17/7/2023,12/1/2024,สำนักงานเลขาธิการสภาผู้แทนราษฎร,20/3/2023,,,131
1060,นาย,เพชรภูมิ,อาภรณ์รัตน์,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,13/3/2023,18/7/2023,24/7/2023,19/1/2024,สำนักงานเลขาธิการสภาผู้แทนราษฎร,20/7/2023,25/2/2020,,132
1061,นาย,จรัส,คุ้มไข่น้ำ,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีพ้นจากตำแหน่ง,26/6/2023,18/7/2023,24/7/2023,19/1/2024,รัฐสภา,20/3/2023,,,133
1549,,สุชาติ,โชคชัยวัฒนากร,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีเข้ารับตำแหน่ง,21/10/2020,15/10/2019,,,รัฐสภา,9/9/2020,,,134
1558,,จิราพร,นาคดิลก,สมาชิกสภาผู้แทนราษฎร (ส.ส.),กรณีเข้ารับตำแหน่ง,21/4/2022,15/10/2019,,,กรุงเทพมหานคร,23/2/2022,,,105
3440,พลเอก,ประยุทธ์,จันทร์โอชา,นายกรัฐมนตรี,กรณีพ้นจากตำแหน่ง,2/11/2023,21/11/2023,24/11/2023,21/5/2024,สำนักนายกรัฐมนตรี,5/9/2023,9/6/2019,,72
