nacc_id,statement_type_id,valuation_submitter,submitter_id,valuation_spouse,valuation_child,latest_submitted_date
907,5,,53,,,2023-06-27
2028,1,11659203.21,61,229203588.3,,2019-10-15
2028,2,7380000,61,,3174500,2019-10-15
2028,3,,61,,,2019-10-15
2028,4,1631191982,61,156384782.8,,2019-10-15
2028,5,2409619.9,61,205919.08,,2019-10-15
2087,1,1464720,60,,,2019-10-15
2087,2,820000,60,,,2019-10-15
2087,3,,60,,,2019-10-15
2087,4,,60,2457227.44,,2019-10-15
2087,5,,60,,,2019-10-15
905,1,1652365,62,2344000,,2023-06-28
905,2,510000,62,,380000,2023-06-28
905,3,,62,404722.48,1362365.6,2023-06-28
905,4,54121605.51,62,32934089.51,,2023-06-28
905,5,,62,20000000,,2023-06-28
1039,1,28012720,63,,,2023-07-13
1039,2,16150000,63,2300000,,2023-07-13
1039,3,,63,,6036751.38,2023-07-13
1039,4,,63,146854017.5,193588.53,2023-07-13
1039,5,,63,638185.47,,2023-07-13
1969,1,708085.85,64,,,2019-10-15
1969,2,,64,,,2019-10-15
1969,3,,64,,,2019-10-15
1969,4,13409680.48,64,26377105.15,,2019-10-15
1969,5,6053803.36,64,2214443.67,,2019-10-15
544,1,1682155.32,69,,,2023-05-16
544,2,840000,69,,,2023-05-16
544,3,,69,,141498,2023-05-16
544,4,,69,110236673.1,,2023-05-16
544,5,,69,,,2023-05-16
1959,1,1596842.13,71,,,2019-10-15
1959,2,1088000,71,,,2019-10-15
1959,3,,71,,,2019-10-15
1959,4,,71,94872105.59,,2019-10-15
1959,5,,71,,,2019-10-15
3440,1,2849888.78,72,453351.79,,2023-11-21
3440,2,2263814,72,400000,,2023-11-21
3440,3,2425256,72,342724.64,,2023-11-21
3440,4,98663683.38,72,31527479.54,,2023-11-21
3440,5,,72,,,2023-11-21
2436,1,1978660,77,,,2019-10-15
2436,2,1444000,77,,,2019-10-15
2436,3,,77,,,2019-10-15
2436,4,14597704.88,77,,,2019-10-15
2436,5,1233,77,,,2019-10-15
2446,1,18918496.47,79,,,2019-10-15
2446,2,18385465,79,,,2019-10-15
2446,3,,79,,,2019-10-15
2446,4,15987223.11,79,12686741.24,,2019-10-15
2446,5,,79,1124336.25,,2019-10-15
63,1,3157814,80,10840000,,2022-12-13
63,2,1252170,80,,375000,2022-12-13
63,3,,80,418890.62,1601824.87,2022-12-13
63,4,58543225.18,80,31295988.7,,2022-12-13
63,5,,80,842670,,2022-12-13
1694,1,1362720,83,,,2019-10-15
1694,2,840000,83,,,2019-10-15
1694,3,,83,,,2019-10-15
1694,4,,83,4504782.67,,2019-10-15
1694,5,,83,2687596,,2019-10-15
2423,1,1628880,84,5300000,,2021-12-15
2423,2,2176000,84,,4200000,2021-12-15
2423,3,,84,,,2021-12-15
2423,4,62619184.05,84,140455284.8,,2021-12-15
2423,5,,84,3095998.05,,2021-12-15
3420,1,2348316,85,,,2023-11-21
3420,2,,85,,,2023-11-21
3420,3,,85,,2158316,2023-11-21
3420,4,,85,89214637.1,,2023-11-21
3420,5,,85,757.26,,2023-11-21
66,1,1859163,86,,,2022-12-13
66,2,1198380,86,,410000,2022-12-13
66,3,,86,,1874258,2022-12-13
66,4,54985343.28,86,17119513.56,,2022-12-13
66,5,,86,2945845.13,,2022-12-13
70,1,,87,,,2022-12-13
70,2,,87,,,2022-12-13
70,3,,87,581947.2,1664619.8,2022-12-13
70,4,,87,,,2022-12-13
70,5,,87,,,2022-12-13
218,1,1004187,88,351745,,2023-01-20
218,2,800000,88,,301000,2023-01-20
218,3,,88,,1110644,2023-01-20
218,4,19092336,88,5105661,,2023-01-20
218,5,,88,,,2023-01-20
328,1,3747330.05,89,744000,,2023-03-03
328,2,6599660.03,89,,840000,2023-03-03
328,3,,89,544500,3685755.05,2023-03-03
328,4,35271333.33,89,24846375.8,,2023-03-03
328,5,1348003.12,89,1310680,,2023-03-03
349,1,1008000,90,,,2023-03-15
349,2,662800,90,80000,,2023-03-15
349,3,,90,,360000,2023-03-15
349,4,,90,8125388.24,,2023-03-15
349,5,,90,1665423.27,,2023-03-15
352,1,1380720,91,,,2023-03-15
352,2,3423927.85,91,,,2023-03-15
352,3,,91,,1362720,2023-03-15
352,4,,91,11281576.97,,2023-03-15
352,5,,91,104141.63,,2023-03-15
354,1,1260000,92,1752000,,2023-03-15
354,2,745000,92,,375000,2023-03-15
354,3,,92,,,2023-03-15
354,4,3029757.41,92,3520560.74,,2023-03-15
354,5,496073.54,92,,,2023-03-15
388,1,1393827.67,93,,3600000,2023-03-30
388,2,1059500,93,800688,,2023-03-30
388,3,,93,,1393827.67,2023-03-30
388,4,,93,78355426.82,10895500,2023-03-30
388,5,,93,67104.19,,2023-03-30
400,1,1362720,94,400000,,2023-04-05
400,2,,94,,,2023-04-05
400,3,,94,,1362720,2023-04-05
400,4,13049003.45,94,724.61,,2023-04-05
400,5,1720000,94,1112446.6,,2023-04-05
501,1,1362720,96,738067.2,,2023-05-01
501,2,1300000,96,,250000,2023-05-01
501,3,,96,738067.2,1362720,2023-05-01
501,4,32441006.48,96,64748583.17,,2023-05-01
501,5,4140,96,496010.03,,2023-05-01
539,1,1488720,97,,,2023-05-16
539,2,1000000,97,,,2023-05-16
539,3,,97,,1488720,2023-05-16
539,4,,97,68959942.49,,2023-05-16
539,5,,97,10369909.75,,2023-05-16
541,1,1582720,98,1900000,,2023-05-16
541,2,1140000,98,,60000,2023-05-16
541,3,,98,,1362720,2023-05-16
541,4,17021877.52,98,28291198.2,,2023-05-16
541,5,,98,,,2023-05-16
558,1,4363220,99,,,2023-05-23
558,2,,99,,,2023-05-23
558,3,,99,,3672520,2023-05-23
558,4,91162335.96,99,440032291.7,,2023-05-23
558,5,2699020.18,99,45003301.71,,2023-05-23
566,1,1362710,100,,,2023-05-24
566,2,600000,100,,,2023-05-24
566,3,,100,,1362720,2023-05-24
566,4,,100,49031042.53,,2023-05-24
566,5,,100,,,2023-05-24
571,1,1362720,101,144000,,2023-05-24
571,2,976000,101,,288000,2023-05-24
571,3,,101,144000,1362720,2023-05-24
571,4,859913.31,101,22456466.5,,2023-05-24
571,5,88790232.42,101,,,2023-05-24
654,1,1602720,102,240000,,2023-06-07
654,2,180000,102,,84000,2023-06-07
654,3,,102,240000,1602720,2023-06-07
654,4,26468018.57,102,17674546.65,,2023-06-07
654,5,565183.67,102,1456600.75,,2023-06-07
672,1,5262720,103,288000,,2023-06-07
672,2,820000,103,,200000,2023-06-07
672,3,,103,288000,1362720,2023-06-07
672,4,18929394.52,103,33379367.18,,2023-06-07
672,5,,103,1246084.91,,2023-06-07
673,1,744000,90,,,2023-05-30
673,2,662800,90,800000,,2023-05-30
673,3,,90,,360000,2023-05-30
673,4,,90,7261484.97,,2023-05-30
673,5,,90,1619100.54,,2023-05-30
676,1,1362720,104,940800,,2023-05-30
676,2,958277,104,86000,623970,2023-05-30
676,3,,104,940800,1362720,2023-05-30
676,4,59089086.72,104,33378506.61,3151879.53,2023-05-30
676,5,107102.11,104,12867,,2023-05-30
692,1,305000,105,809000,,2023-05-30
692,2,649760,105,400000,400000,2023-05-30
692,3,,105,485142,1224590,2023-05-30
692,4,9829613.11,105,22308019.4,578236.9,2023-05-30
692,5,15530.16,105,565251.02,,2023-05-30
713,1,1572802.8,106,343021,,2023-06-13
713,2,800000,106,,300000,2023-06-13
713,3,,106,348021,1572802.8,2023-06-13
713,4,16301395.93,106,6813932.22,,2023-06-13
713,5,,106,,,2023-06-13
724,1,1962720,107,696000,,2023-06-12
724,2,1327200,107,,480000,2023-06-12
724,3,,107,696000,1362720,2023-06-12
724,4,13509.05,107,51202611.57,,2023-06-12
724,5,1375105.13,107,7048193.75,,2023-06-12
789,1,3507978.06,108,,,2023-06-19
789,2,2000000,108,,,2023-06-19
789,3,,108,,138066,2023-06-19
789,4,,108,2498103.3,,2023-06-19
789,5,,108,3500000,,2023-06-19
790,1,1362720,109,,,2023-06-19
790,2,124440,109,691020.56,227359.1,2023-06-19
790,3,,109,,1362720,2023-06-19
790,4,7838378.09,109,2473976.27,67819.5,2023-06-19
790,5,83022.2,109,31877.36,,2023-06-19
791,1,1362720,110,1249378,,2023-06-15
791,2,150000,110,,60000,2023-06-15
791,3,,110,1249348,1362720,2023-06-15
791,4,105494958.8,110,51978121.43,4500000,2023-06-15
791,5,,110,,,2023-06-15
793,1,1962720,111,180000,,2023-06-15
793,2,,111,,,2023-06-15
793,3,,111,180000,1962720,2023-06-15
793,4,10509157.25,111,24087625.99,388195.05,2023-06-15
793,5,1897.48,111,11580.93,,2023-06-15
794,1,473244.96,112,,,2023-06-19
794,2,350000,112,,200000,2023-06-19
794,3,,112,,1645964.96,2023-06-19
794,4,8454858.17,112,12170773.85,,2023-06-19
794,5,,112,33033.72,,2023-06-19
801,1,1528320,114,180000,,2023-06-15
801,2,250000,114,,150000,2023-06-15
801,3,,114,180000,1362720,2023-06-15
801,4,5693599.95,114,14461528.58,,2023-06-15
801,5,,114,,,2023-06-15
803,1,153560,115,,,2023-06-19
803,2,480000,115,,,2023-06-19
803,3,,115,,,2023-06-19
803,4,16044460,115,4302938.01,4145,2023-06-19
803,5,,115,,,2023-06-19
816,1,2357800,116,5200000,,2023-06-19
816,2,926000,116,,204938,2023-06-19
816,3,,116,,92499,2023-06-19
816,4,10671248.9,116,4330900.73,,2023-06-19
816,5,7993568.94,116,1500000,,2023-06-19
820,1,1820000,117,,,2023-06-19
820,2,533328,117,,,2023-06-19
820,3,,117,,288000,2023-06-19
820,4,,117,4193099.69,,2023-06-19
820,5,,117,507497.8,,2023-06-19
886,1,1632720,118,,,2023-06-12
886,2,500000,118,,500000,2023-06-12
886,3,,118,,1128720,2023-06-12
886,4,44707299.98,118,43137797.79,,2023-06-12
886,5,13495.8,118,,,2023-06-12
898,1,1362720,119,752599,,2023-06-27
898,2,1030035,119,225417,736006,2023-06-27
898,3,,119,752599,1362720,2023-06-27
898,4,3689545.09,119,25023137.22,29417,2023-06-27
898,5,647198.26,119,6958.62,,2023-06-27
933,1,1362720,120,2150000,5000,2023-06-27
933,2,600000,120,420000,600000,2023-06-27
