asset_id,submitter_id,nacc_id,registration_number,vehicle_model,province,latest_submitted_date
5081,98,541,ฎธ 9579,Honda Accord,กรุงเทพมหานคร,2023-05-16
5285,99,558,กธ6789,,ปราจีนบุรี,2023-05-23
5286,99,558,กธ8989,,ปราจีนบุรี,2023-05-23
5287,99,558,กง423,,นครนายก,2023-05-23
5288,99,558,บบ4633,,ปราจีนบุรี,2023-05-23
5289,99,558,ชย8202,,กรุงเทพมหานคร,2023-05-23
5290,99,558,บธ602,,ปราจีนบุรี,2023-05-23
5291,99,558,บธ601,,ปราจีนบุรี,2023-05-23
5292,99,558,กจ238,,ปราจีนบุรี,2023-05-23
5293,99,558,ฮภ9711,,กรุงเทพมหานคร,2023-05-23
5294,99,558,กฉ2222,,ปราจีนบุรี,2023-05-23
5409,100,566,กจ1234,,นครสวรรค์,2023-05-24
5410,100,566,7ธ9944,,กรุงเทพมหานคร,2023-05-24
5411,100,566,กก1234,,นครสวรรค์,2023-05-24
5412,100,566,นก999,,นครสวรรค์,2023-05-24
5424,101,571,กท1212,VOLVO,นนทบุรี,2023-05-24
5425,101,571,กน1166,VOLVO,นนทบุรี,2023-05-24
5426,101,571,ภษ6663,BENZ,กรุงเทพมหานคร,2023-05-24
5427,101,571,กว3666,MITSUBISHI,นนทบุรี,2023-05-24
5428,101,571,กง9133,MITSUBISHI,นนทบุรี,2023-05-24
5475,102,654,ฌย98,Benz,กรุงเทพมหานคร,2023-06-07
5476,102,654,กลท156,Yamaha,หนองบัวลำภู,2023-06-07
5477,102,654,สฉ7337,Toyotafortuner,กรุงเทพมหานคร,2023-06-07
5478,102,654,ก0330,Mitsubichi ปาเจโร่,หนองบัวลำภู,2023-06-07
5479,102,654,กข1001,Volvo,หนองบัวลำภู,2023-06-07
5480,102,654,กข8111,Ford,หนองบัวลำภู,2023-06-07
5513,103,672,ซง1778,Isuzu D-Max,เชียงราย,2023-06-07
5514,103,672,,Isuzu Mu-x,เชียงราย,2023-06-07
5515,103,672,4กญ473,BMW,กรุงเทพมหานคร,2023-06-07
5547,104,676,3ฒจ5791,,กรุงเทพมหานคร,2023-05-30
5548,104,676,ฮน5655,,กรุงเทพมหานคร,2023-05-30
5549,104,676,2กค5655,,กรุงเทพมหานคร,2023-05-30
5550,104,676,ภษ345,,กรุงเทพมหานคร,2023-05-30
5551,104,676,8กล5655,,กรุงเทพมหานคร,2023-05-30
5552,104,676,3ขฉ5655,,กรุงเทพมหานคร,2023-05-30
5576,105,692,5กณ7051,Nissan Teana,กรุงเทพมหานคร,2023-05-30
5577,105,692,3ขฆ6234,Ora Good Cat EV,กรุงเทพมหานคร,2023-05-30
5578,105,692,วธ7607,Mitsubishi,กรุงเทพมหานคร,2023-05-30
5614,106,713,คร5789,โตโยต้า,เชียงใหม่,2023-06-13
5615,106,713,ถน7289,จี๊บ,เชียงใหม่,2023-06-13
5636,107,724,ฮอ 2505,Volkswagen,กรุงเทพมหานคร,2023-06-12
5637,107,724,พง 119,Benz,กรุงเทพมหานคร,2023-06-12
5644,108,789,กฉ7795,,ลพบุรี,2023-06-19
5818,110,791,กธ 969,ไม่ระบุ,อุบลราชธานี,2023-06-15
5819,110,791,กย 7257,ไม่ระบุ,อุบลราชธานี,2023-06-15
5820,110,791,4กฒ 8802,ไม่ระบุ,กรุงเทพมหานคร,2023-06-15
5821,110,791,คทม 685,ไม่ระบุ,อุบลราชธานี,2023-06-15
5845,111,793,กข 1771,Mitsubishi mirage,น่าน,2023-06-15
5846,111,793,กข 1344,Toyota Rocco,น่าน,2023-06-15
5847,111,793,บฉ 2210,Nissan,น่าน,2023-06-15
5848,111,793,บค 2298,Toyota,น่าน,2023-06-15
5849,111,793,บก 4641,Isuzu,น่าน,2023-06-15
5850,111,793,นข 1881,Hyandai H-1,น่าน,2023-06-15
5851,111,793,กข 9,Nissan teana,น่าน,2023-06-15
5852,111,793,1กธ 9,Honda,กรุงเทพมหานคร,2023-06-15
5853,111,793,กธท 682,Yamaha,น่าน,2023-06-15
5865,112,794,ญต 9499,,กรุงเทพมหานคร,2023-06-19
5905,114,801,ณต. 490,,กรุงเทพมหานคร,2023-06-15
5906,114,801,1ขร 297,,กรุงเทพมหานคร,2023-06-15
5907,114,801,2ขข 103,,กรุงเทพมหานคร,2023-06-15
5908,114,801,ชฉ 2069,,กรุงเทพมหานคร,2023-06-15
5909,114,801,8ก-3934,,กรุงเทพมหานคร,2023-06-15
5917,115,803,กข 1011,,ร้อยเอ็ด,2023-06-19
5918,115,803,อห 4567,,กรุงเทพมหานคร,2023-06-19
5919,115,803,กง 7466,,ขอนแก่น,2023-06-19
5920,115,803,กค 1264,,ร้อยเอ็ด,2023-06-19
5921,115,803,บต 2925,,ร้อยเอ็ด,2023-06-19
5922,115,803,บต 8454,,ร้อยเอ็ด,2023-06-19
5927,116,816,รกม 888,,ตรัง,2023-06-19
5928,116,816,กษ 5000,,กรุงเทพมหานคร,2023-06-19
5929,116,816,ญม 3931,,กรุงเทพมหานคร,2023-06-19
5930,116,816,30-0436,,พิษณุโลก,2023-06-19
5931,116,816,1กธ 387,,กรุงเทพมหานคร,2023-06-19
5932,116,816,81-1416,,น่าน,2023-06-19
5933,116,816,82-3432,,ปราจีนบุรี,2023-06-19
5934,116,816,80-8651,,ตรัง,2023-06-19
5935,116,816,ฮฮ 6960,,กรุงเทพมหานคร,2023-06-19
5936,116,816,89-6255,,นครปฐม,2023-06-19
5937,116,816,ฬล 4019,,กรุงเทพมหานคร,2023-06-19
5938,116,816,กร 1567,,จันทบุรี,2023-06-19
5939,116,816,ขร 7308,,จันทบุรี,2023-06-19
5940,116,816,1กพ 8819,,จันทบุรี,2023-06-19
5953,117,820,ฮฮ-1954,Hyundai 14-1 ปี 2019,กรุงเทพมหานคร,2023-06-19
6028,118,886,ม-0754,toyota van,ชัยภูมิ,2023-06-12
6029,118,886,กฉ-827,mercedes benz,กรุงเทพมหานคร,2023-06-12
6030,118,886,4ษ-7117,ไคลสเลอร์,กรุงเทพมหานคร,2023-06-12
6031,118,886,ม-6116,isuzu van,ชัยภูมิ,2023-06-12
6032,118,886,บย-5367,isuzu,ชัยภูมิ,2023-06-12
6033,118,886,พม-5115,แกรนด์เชอร์โรกี,กรุงเทพมหานคร,2023-06-12
6034,118,886,81-2424,isuzu,ชัยภูมิ,2023-06-12
6035,118,886,พษ-3113,mercedes benz,กรุงเทพมหานคร,2023-06-12
6036,118,886,น-0590,mitsubishi,ชัยภูมิ,2023-06-12
6037,118,886,ฮก-2112,เพรจิโอ,กรุงเทพมหานคร,2023-06-12
6038,118,886,กข-6116,toyota van,ชัยภูมิ,2023-06-12
6039,118,886,8กถ-861,ford van,กรุงเทพมหานคร,2023-06-12
6040,118,886,8กต-828,,กรุงเทพมหานคร,2023-06-12
6041,118,886,ฌ-7135,,ชัยภูมิ,2023-06-12
6042,118,886,ก-1562,,ชัยภูมิ,2023-06-12
6048,119,898,ฌช-3016,Volvo 960,กรุงเทพมหานคร,2023-06-27
6049,119,898,2ฐ-9295,Mitzu,กรุงเทพมหานคร,2023-06-27
6050,119,898,2ช-5049,Nissan Sunny,กรุงเทพมหานคร,2023-06-27
6051,119,898,ฆถ-7989,Nissan Almera,กรุงเทพมหานคร,2023-06-27
6088,120,933,ฎพ254,BENZ,กรุงเทพมหานคร,2023-06-27
6089,120,933,5กก254,Toyota Alphard,กรุงเทพมหานคร,2023-06-27
6090,120,933,ฎห254,Benz,กรุงเทพมหานคร,2023-06-27
6091,120,933,3ขท254,Honda,กรุงเทพมหานคร,2023-06-27
6204,121,945,ณอ9992,,กรุงเทพมหานคร,2023-07-07
6205,121,945,กศ3573,,กรุงเทพมหานคร,2023-07-07
6206,121,945,3กช393,,กรุงเทพมหานคร,2023-07-07
6225,122,949,กค5366,ไม่ระบุ,สุราษฎร์ธานี,2023-07-11
6226,122,949,กฉ9997,ไม่ระบุ,สุราษฎร์ธานี,2023-07-11
6227,122,949,80-3659,ไม่ระบุ,สุราษฎร์ธานี,2023-07-11
6228,122,949,ผข5938,ไม่ระบุ,สุราษฎร์ธานี,2023-07-11
6229,122,949,บล8873,ไม่ระบุ,สุราษฎร์ธานี,2023-07-11
6230,122,949,82-3647,ไม่ระบุ,สุราษฎร์ธานี,2023-07-11
6231,122,949,ผน6631,ไม่ระบุ,สุราษฎร์ธานี,2023-07-11
6276,123,950,กง-8976,ไม่ระบุ,ศรีสะเกษ,2023-07-10
6277,123,950,ฎน-9292,ไม่ระบุ,กรุงเทพมหานคร,2023-07-10
6278,123,950,ฒ-7883,ไม่ระบุ,ศรีสะเกษ,2023-07-10
6279,123,950,ฉ-3866,ไม่ระบุ,ศรีสะเกษ,2023-07-10
6280,123,950,ข-4681,ไม่ระบุ,ศรีสะเกษ,2023-07-10
6281,123,950,ก-3691,ไม่ระบุ,ศรีสะเกษ,2023-07-10
6282,123,950,น-0090,รถ LAND ROVER,ศรีสะเกษ,2023-07-10
6293,124,952,คง8848,Toyota,นครศรีธรรมราช,2023-07-10
6306,125,976,2กล-6688,,กรุงเทพมหานคร,2023-07-11
6307,125,976,2นค-6688,,สงขลา,2023-07-11
6308,125,976,กง-6688,,นราธิวาส,2023-07-11
6309,125,976,กจ-6688,,นราธิวาส,2023-07-11
6310,125,976,1กท1,,นราธิวาส,2023-07-11
6311,125,976,กค-6688,,นราธิวาส,2023-07-11
6312,125,976,1กฉ6688,,นราธิวาส,2023-07-11
6313,125,976,กนก653,,นราธิวาส,2023-07-11
6314,125,976,1กฒ6688,,นราธิวาส,2023-07-11
6315,125,976,ขาง777,,นราธิวาส,2023-07-11
6316,125,976,1กค6558,,นราธิวาส,2023-07-11
6317,125,976,กษน227,,นราธิวาส,2023-07-11
6318,125,976,ณต6688,,กรุงเทพมหานคร,2023-07-11
6319,125,976,นข1111,,นราธิวาส,2023-07-11
6365,126,1029,กบ3311,,นนทบุรี,2023-07-04
6373,127,1035,4กม70,พอร์ช,กรุงเทพมหานคร,2023-07-10
6374,127,1035,8กผ6304,เบนซ์,กรุงเทพมหานคร,2023-07-10
6375,127,1035,1กน339,ฮอนด้า,กรุงเทพมหานคร,2023-07-10
