position_category_id,corrupt0_category,nacc_category_number,nacc_category,nacc_sub_category_number,nacc_sub_category
25,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.9,ตำแหน่งอื่นตามที่กฎหมายกำหนดให้เป็นผู้ดำรงตำแหน่งระดับสูง
26,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,7.0,ผู้ดำรงตำแหน่งระดับสูง,7.1,ผู้ซึ่งดำรงตำแหน่งเทียบเท่าตามที่คณะกรรมการ ป.ป.ช. กำหนด
27,ผู้บริหารกระทรวง/ข้าราชการระดับสูง,8.0,ตำแหน่งอื่นตามที่กฎหมายอื่นกำหนดให้มีหน้าที่ยื่นบัญชีทรัพย์สินและหนี้สิน,8,ตำแหน่งอื่น
28,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นกรุงเทพมหานคร
29,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นพัทยา
30,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นองค์การบริหารส่วนจังหวัด
31,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นองค์การบริหารส่วนตำบล
32,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นเทศบาลตำบล
33,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นเทศบาลนคร
34,องค์กรปกครองส่วนท้องถิ่น,9.0,ผู้บริหารท้องถิ่น,9,ผู้บริหารท้องถิ่นเทศบาลเมือง
