asset_id,submitter_id,nacc_id,land_doc_number,rai,ngan,sq_wa,sub_distirict,distirict,province,latest_submitted_date
3198,46,975,11978,10,0,0,,เมืองนครนายก,นครนายก,2023-07-04
3199,46,975,308204,0,1,33,,เมืองสมุทรปราการ,สมุทรปราการ,2023-07-04
3200,46,975,46327,1,0,19,บางเสร่,สัตหีบ,ชลบุรี,2023-07-04
3201,46,975,28328,1,0,37,,หางดง,เชียงใหม่,2023-07-04
3202,46,975,45726,0,1,23.4,ช้างม่อย,,เชียงใหม่,2023-07-04
3280,49,1735,83603,21,1,20,ในเมือง,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3281,49,1735,102910,0,0,37,ศิลา,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3426,51,1972,22060,0,0,15.9,กลางเวียง,เวียงสา,น่าน,2019-10-15
3427,51,1972,20208,0,1,43.1,กลางเวียง,เวียงสา,น่าน,2019-10-15
3428,51,1972,531,36,2,56,หนองน้ำแดง,ปากช่อง,นครราชสีมา,2019-10-15
3429,51,1972,17642,9,3,22,หนองน้ำแดง,ปากช่อง,นครราชสีมา,2019-10-15
3430,51,1972,17641,9,3,75,หนองน้ำแดง,ปากช่อง,นครราชสีมา,2019-10-15
3431,51,1972,1850,45,2,12.1,ในเมือง,เมืองลำพูน,ลำพูน,2019-10-15
3432,51,1972,1851,2,1,95.6,ในเมือง,เมืองลำพูน,ลำพูน,2019-10-15
3433,51,1972,1853,4,2,90,ในเมือง,เมืองลำพูน,ลำพูน,2019-10-15
3434,51,1972,1746,6,0,10.4,เหมืองง่า,เมืองลำพูน,ลำพูน,2019-10-15
3435,51,1972,1747,1,1,53.7,เหมืองง่า,เมืองลำพูน,ลำพูน,2019-10-15
3436,51,1972,52583,7,1,44,ท่าคล้อ,แก่งคอย,สระบุรี,2019-10-15
3437,51,1972,52584,4,1,80,ท่าคล้อ,แก่งคอย,สระบุรี,2019-10-15
3438,51,1972,52585,1,0,98,ท่าคล้อ,แก่งคอย,สระบุรี,2019-10-15
3439,51,1972,54087,23,2,59,ท่าคล้อ,แก่งคอย,สระบุรี,2019-10-15
3440,51,1972,53672,28,0,85,ท่าคล้อ,แก่งคอย,สระบุรี,2019-10-15
3441,51,1972,53674,3,3,2,ท่าคล้อ,แก่งคอย,สระบุรี,2019-10-15
3442,51,1972,53673,2,2,10,ท่าคล้อ,แก่งคอย,สระบุรี,2019-10-15
3443,51,1972,53931,6,2,77,ท่าคล้อ,แก่งคอย,สระบุรี,2019-10-15
3444,51,1972,948,4,3,50,ท่าคล้อ,แก่งคอย,สระบุรี,2019-10-15
3445,51,1972,50813,1,3,23,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่,2019-10-15
3446,51,1972,88786,0,0,84.6,บึงยี่โถ,ธัญบุรี,ปทุมธานี,2019-10-15
3447,51,1972,105844,0,1,66.2,รังสิต,ธัญบุรี,ปทุมธานี,2019-10-15
3473,52,2248,14085,6,0,60,เชียงรากน้อย,สามโคก,ปทุมธานี,2011-05-15
3474,52,2248,18085,6,1,13.9,แกลง,เมืองระยอง,ระยอง,2011-05-15
3475,52,2248,102429,0,2,1,บางแก้ว,บางพลี,สมุทรปราการ,2011-05-15
3476,52,2248,134,5,1,58,ปากน้ำ,บางคล้า,ฉะเชิงเทรา,2011-05-15
3477,52,2248,709,6,1,50,โป่งแยง,แม่ริม,เชียงใหม่,2011-05-15
3478,52,2248,3035,1,0,64,หมูสี,ปากช่อง,นครราชสีมา,2011-05-15
3479,52,2248,75/49,1,2,0,ป่าตอง,,ภูเก็ต,2011-05-15
3480,52,2248,15958,3,0,0,เวียง,เชียงแสน,เชียงราย,2011-05-15
3481,52,2248,,5,0,0,หน้าเมือง,เกาะสมุย,สุราษฎร์ธานี,2011-05-15
3482,52,2248,22452-4,0,0,83,,หนองแขม,กรุงเทพมหานคร,2011-05-15
3493,54,989,14646,0,0,57.4,บางบอนใต้,บางบอน,กรุงเทพมหานคร,2023-07-07
3508,55,1615,18083,3,2,0,กู่ทอง,เชียงยืน,มหาสารคาม,2019-10-15
3509,55,1615,18078,2,1,20,กู่ทอง,เชียงยืน,มหาสารคาม,2019-10-15
3510,55,1615,18080,7,2,0,กู่ทอง,เชียงยืน,มหาสารคาม,2019-10-15
3511,55,1615,18087,5,3,20,กู่ทอง,เชียงยืน,มหาสารคาม,2019-10-15
3512,55,1615,118,1,1,90,กู่ทอง,เชียงยืน,มหาสารคาม,2019-10-15
3513,55,1615,67014,0,2,0,พระลับ,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3514,55,1615,24335,15,0,0,ท่าขอนยาง,กันทรวิชัย,มหาสารคาม,2019-10-15
3515,55,1615,29659,0,1,8,ในเมือง,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3516,55,1615,28205,1,2,0,หนองแวง,พระยืน,ขอนแก่น,2019-10-15
3517,55,1615,29661,0,0,93,ในเมือง,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3518,55,1615,29657,0,1,4,ในเมือง,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3519,55,1615,228165,1,3,86,ดอนช้าง,เมืองขอนแก่น,ขอนแก่น,2019-10-15
3706,58,2430,76321,0,2,62,คลองกุ่ม,บางกะปิ,กรุงเทพมหานคร,2022-02-10
3707,58,2430,5680,10,1,24,ช่องสะแก,เมืองเพชรบุรี,เพชรบุรี,2022-02-10
3708,58,2430,7227,34,3,80,หาดเจ้าสำราญ,บ้านแหลม,เพชรบุรี,2022-02-10
3709,58,2430,9021,8,2,52,หาดเจ้าสำราญ,บ้านแหลม,เพชรบุรี,2022-02-10
3710,58,2430,2075,8,2,24,บางแก้ว,บ้านแหลม,เพชรบุรี,2022-02-10
3711,58,2430,8960,13,0,0,บางแก้ว,บ้านแหลม,เพชรบุรี,2022-02-10
3712,58,2430,8961,15,3,60,บางแก้ว,บ้านแหลม,เพชรบุรี,2022-02-10
3713,58,2430,2456,45,0,40,บ้านแหลม,บ้านแหลม,เพชรบุรี,2022-02-10
3714,58,2430,57792,0,0,56,บ้านปง,หางดง,เชียงใหม่,2022-02-10
3715,58,2430,57793,0,0,61,บ้านปง,หางดง,เชียงใหม่,2022-02-10
3716,58,2430,76909,1,1,25,หมูสี,ปากช่อง,นครราชสีมา,2022-02-10
3717,58,2430,76910,1,1,22,หมูสี,ปากช่อง,นครราชสีมา,2022-02-10
3718,58,2430,4130,57,3,80,บางแก้ว,บ้านแหลม,เพชรบุรี,2022-02-10
3719,58,2430,7438,0,3,3,ท่าราบ,เมืองเพชรบุรี,เพชรบุรี,2022-02-10
3720,58,2430,22050,5,3,86,บ้านแหลม,บ้านแหลม,เพชรบุรี,2022-02-10
3721,58,2430,22051,4,1,55,บ้านแหลม,บ้านแหลม,เพชรบุรี,2022-02-10
3722,58,2430,11502,0,0,92,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,2022-02-10
3723,58,2430,76322,0,2,58,คลองกุ่ม,บางกะปิ,กรุงเทพมหานคร,2022-02-10
3744,53,907,99405,0,0,50,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,2023-06-27
3759,62,905,136398,7,1,1,ต้นธงชัย,เมืองลำปาง,ลำปาง,2023-06-28
3760,62,905,1219,1,3,5.03,คลองตาล,ศรีสำโรง,สุโขทัย,2023-06-28
3761,62,905,35737,0,2,38,บ้านใหม่,เมืองนนทบุรี,นนทบุรี,2023-06-28
3762,62,905,35738,0,2,37,บ้านใหม่,เมืองนนทบุรี,นนทบุรี,2023-06-28
3779,63,1039,,34,0,68,,หนองขาหย่าง,อุทัยธานี,2023-07-13
3780,63,1039,,7,3,84,,หนองขาหย่าง,อุทัยธานี,2023-07-13
3781,63,1039,,0,0,21,ท่าโพ,หนองขาหย่าง,อุทัยธานี,2023-07-13
3782,63,1039,,12,1,8,หนองพังค่า,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3783,63,1039,,18,1,28,หนองพังค่า,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3784,63,1039,,18,2,96,หนองพังค่า,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3785,63,1039,,4,1,66,หนองพังค่า,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3786,63,1039,,4,2,40,หนองพังค่า,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3787,63,1039,,4,2,90,หนองพังค่า,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3788,63,1039,,9,1,30,หนองพังค่า,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3789,63,1039,,7,0,26,หนองพังค่า,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3790,63,1039,,15,1,80,หนองพังค่า,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3791,63,1039,,7,3,30,หมกแถว,หนองขาหย่าง,อุทัยธานี,2023-07-13
3792,63,1039,,6,0,70,หมกแถว,หนองขาหย่าง,อุทัยธานี,2023-07-13
3793,63,1039,,0,1,80,บ้านไร่,บ้านไร่,อุทัยธานี,2023-07-13
3794,63,1039,,23,2,46,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3795,63,1039,,8,0,36,หนองพังค่า,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3796,63,1039,,0,0,39.6,บ้านไร่,บ้านไร่,อุทัยธานี,2023-07-13
3797,63,1039,,0,0,41.1,บ้านไร่,บ้านไร่,อุทัยธานี,2023-07-13
3798,63,1039,,0,0,34.6,บ้านไร่,บ้านไร่,อุทัยธานี,2023-07-13
3799,63,1039,,1,3,56.3,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3800,63,1039,,4,0,64,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3801,63,1039,,39,1,52,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3802,63,1039,,31,1,84,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3803,63,1039,,22,3,37,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3804,63,1039,,42,2,58,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3805,63,1039,,53,3,31,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3806,63,1039,,52,2,0,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3807,63,1039,,38,0,0,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3808,63,1039,,61,2,0,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3809,63,1039,,51,1,27,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3810,63,1039,,59,0,73,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3811,63,1039,,14,1,97,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3812,63,1039,,4,2,3,ห้วยแห้ง,บ้านไร่,อุทัยธานี,2023-07-13
3813,63,1039,,5,1,57,ดอนขวาง,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3814,63,1039,,1,1,78,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3815,63,1039,,13,1,45,ดอนขวาง,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3816,63,1039,,99,0,5,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,2023-07-13
3817,63,1039,,2,3,25,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,2023-07-13
3818,63,1039,,5,3,76,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,2023-07-13
3819,63,1039,,42,1,65.1,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,2023-07-13
3820,63,1039,,19,2,0,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,2023-07-13
3821,63,1039,,40,0,91,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,2023-07-13
3822,63,1039,,20,3,39,สว่างอารมณ์,สว่างอารมณ์,อุทัยธานี,2023-07-13
3823,63,1039,,0,1,15,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3824,63,1039,,0,0,90,สะแกกรัง,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3825,63,1039,,30,3,40,หนองแก,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3826,63,1039,,0,0,51.4,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3827,63,1039,,0,0,75.7,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,2023-07-13
3828,63,1039,,0,1,56,น้ำซึม,เมืองอุทัยธานี,กรุงเทพมหานคร,2023-07-13
3829,63,1039,,0,0,22,อุทัยใหม่,เมืองอุทัยธานี,กรุงเทพมหานคร,2023-07-13
3830,63,1039,,0,0,83,อุทัยใหม่,เมืองอุทัยธานี,กรุงเทพมหานคร,2023-07-13
3831,63,1039,,6,1,88,เกรียงไกร,เมืองนครสวรรค์,นครสวรรค์,2023-07-13
3832,63,1039,,6,3,16,เกรียงไกร,เมืองนครสวรรค์,นครสวรรค์,2023-07-13
3833,63,1039,,5,1,40,เกรียงไกร,เมืองนครสวรรค์,นครสวรรค์,2023-07-13
3834,63,1039,,0,2,28,ดอนขวาง,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3835,63,1039,,0,2,92,ดอนขวาง,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3870,64,1969,33566,0,1,33,วัดชลอ,บางกรวย,นนทบุรี,2019-10-15
3871,64,1969,33568,0,1,32,วัดชลอ,บางกรวย,นนทบุรี,2019-10-15
3872,64,1969,25330,0,0,13,,บางกอกน้อย,กรุงเทพมหานคร,2019-10-15
3873,64,1969,17948,25,0,0.4,ท้ายเหมือง,ท้ายเหมือง,พังงา,2019-10-15
3874,64,1969,13094,0,1,1,โพไร่หวาน,,เพชรบุรี,2019-10-15
3875,64,1969,25791,10,0,0,,ลาดหลุมแก้ว,ปทุมธานี,2019-10-15
5915,115,803,288,0,0,61.2,,เชียงคาน,เลย,2023-06-19
7593,166,890,64877,0,1,94,หัวหวาย,,นครสวรรค์,2023-06-13
7594,166,890,64878,0,1,36,หัวหวาย,,นครสวรรค์,2023-06-13
4532,80,63,67431,0,1,2,,สัตหีบ,ชลบุรี,2022-12-13
4533,80,63,20288,2,0,0,,พัฒนานิคม,ชลบุรี,2022-12-13
4534,80,63,40132,1,0,0,,ไทรน้อย,นนทบุรี,2022-12-13
4535,80,63,39128,2,0,0,,ไทรน้อย,นนทบุรี,2022-12-13
4536,80,63,15853,0,1,98,,หนองแขม,กรุงเทพมหานคร,2022-12-13
4537,80,63,15854,0,1,98,,หนองแขม,กรุงเทพมหานคร,2022-12-13
4538,80,63,15842,0,1,66,,หนองแขม,กรุงเทพมหานคร,2022-12-13
4539,80,63,15843,0,1,68,,หนองแขม,กรุงเทพมหานคร,2022-12-13
