asset_id,submitter_id,nacc_id,building_doc_number,sub_district,district,province,latest_submitted_date
3724,58,2430,76321,รามอินทรา,คันนายาว,กรุงเทพมหานคร,2022-02-10
3725,58,2430,37/22,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,2022-02-10
3726,58,2430,37/57,หัวหิน,หัวหิน,ประจวบคีรีขันธ์,2022-02-10
3727,58,2430,11502,สามเสนใน,พญาไท,กรุงเทพมหานคร,2022-02-10
3728,58,2430,525/26,,บางกอกน้อย,กรุงเทพมหานคร,2022-02-10
3729,58,2430,"57792, 57793",บ้านปง,หางดง,เชียงใหม่,2022-02-10
3730,58,2430,76322,คลองกุ่ม,บางกะปิ,กรุงเทพมหานคร,2022-02-10
3745,53,907,"1972, 85806, 85807, 85808, 85810, 85811",บางกระสอ,เมืองนนทบุรี,นนทบุรี,2023-06-27
3746,53,907,"26108-26111, 138773, 171425-171429, 201659, 220791-220796",บางกระสอ,เมืองนนทบุรี,นนทบุรี,2023-06-27
3753,61,2028,12801,บางนา,บางนา,กรุงเทพมหานคร,2019-10-15
3754,61,2028,2220,ลุมพินี,ปทุมวัน,กรุงเทพมหานคร,2019-10-15
3756,60,2087,"1972,85806,85807,85808,85810,85811",บางกระสอ,เมืองนนทบุรี,นนทบุรี,2019-10-15
3763,62,905,1219,คลองตาล,ศรีสำโรง,สุโขทัย,2023-06-28
3836,63,1039,17469,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,2023-07-13
3837,63,1039,6143,ท่าโพ,หนองขาหย่าง,อุทัยธานี,2023-07-13
3838,63,1039,11171,บ้านไร่,หนองขาหย่าง,อุทัยธานี,2023-07-13
3839,63,1039,34078,อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3840,63,1039,"204,149,339",อุทัยใหม่,เมืองอุทัยธานี,อุทัยธานี,2023-07-13
3876,64,1969,"3,386,633,868",วัดชลอ,บางกรวย,นนทบุรี,2019-10-15
3877,64,1969,25330,,บางกอกน้อย,กรุงเทพมหานคร,2019-10-15
4130,71,1959,10777,อิสาณ,เมืองบุรีรัมย์,บุรีรัมย์,2019-10-15
4144,72,3440,ไม่ระบุ,สามเสนใน,พญาไท,กรุงเทพมหานคร,2023-11-21
4528,79,2446,12021,บางแค,บางแค,กรุงเทพมหานคร,2019-10-15
4529,79,2446,2972,เมืองใต้,เมืองศรีสะเกษ,ศรีสะเกษ,2019-10-15
4540,80,63,"1,584,215,843",หลักสอง,บางแค,กรุงเทพมหานคร,2022-12-13
4636,83,1694,"1532, 1878, 1879, 1880",สามเสนใน,พญาไท,กรุงเทพมหานคร,2019-10-15
4703,84,2423,"10793, 229806, 229807",พระโขนงเหนือ,พระโขนง,กรุงเทพมหานคร,2021-12-15
6604,134,1549,5393,,,กรุงเทพมหานคร,2019-10-15
4704,84,2423,"11193, 136244, 136245, 136246, 136247, 136264, 136265",มักกะสัน,ราชเทวี,กรุงเทพมหานคร,2021-12-15
4705,84,2423,"11193, 136244, 136245, 136246, 136247, 136264, 136265",มักกะสัน,ราชเทวี,กรุงเทพมหานคร,2021-12-15
4706,84,2423,48374,ปากช่อง,ปากช่อง,นครราชสีมา,2021-12-15
4707,84,2423,48374,ปากช่อง,ปากช่อง,นครราชสีมา,2021-12-15
4736,85,3420,13988,ทรายกองดินใต้,คลองสามวา,กรุงเทพมหานคร,2023-11-21
4794,86,66,50545-51,วังใหม่,ปทุมวัน,กรุงเทพมหานคร,2022-12-13
4795,86,66,50545-51,วังใหม่,ปทุมวัน,กรุงเทพมหานคร,2022-12-13
4796,86,66,,วังใหม่,ปทุมวัน,กรุงเทพมหานคร,2022-12-13
4797,86,66,"50,635,258,556",,ปทุมวัน,กรุงเทพมหานคร,2022-12-13
4798,86,66,"160811-18 , 160872-99",,เมืองอุดรธานี,อุดรธานี,2022-12-13
4799,86,66,160828-53,,เมืองอุดรธานี,อุดรธานี,2022-12-13
4820,87,70,86439,พญาเย็น,ปากช่อง,นครราชสีมา,2022-12-13
4837,88,218,2088,ในเมือง,เมืองเพชรบูรณ์,เพชรบูรณ์,2023-01-20
4847,89,328,235144,คันนายาว,คันนายาว,กรุงเทพมหานคร,2023-03-03
4848,89,328,5321,บางเขน,หลักสี่,กรุงเทพมหานคร,2023-03-03
4849,89,328,"79,771,557",พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,2023-03-03
4850,89,328,"79,771,557",พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,2023-03-03
4851,89,328,"79,771,557",พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,2023-03-03
4878,90,349,,สัมพันธ์,หนองจอก,กรุงเทพมหานคร,2023-03-15
4879,90,349,70428,กระทุ่มราย,หนองจอก,กรุงเทพมหานคร,2023-03-15
4900,92,354,136328,,เมืองปทุมธานี,ปทุมธานี,2023-03-15
4914,93,388,73182,บางระมาด,ตลิ่งชัน,กรุงเทพมหานคร,2023-03-30
4915,93,388,27184,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,2023-03-30
4916,93,388,3645,วังตะเคียน,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,2023-03-30
4965,94,400,"15112, 9233",ทับคล้อ,ทับคล้อ,พิจิตร,2023-04-05
5030,96,501,147249,แม่ยางร้อง,ร้องกวาง,แพร่,2023-05-01
5031,96,501,19988,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,2023-05-01
5032,96,501,"33722 , 33723 , 33724 , 33725 ",ในเวียง,เมืองแพร่,แพร่,2023-05-01
5033,96,501,33727,ในเวียง,เมืองแพร่,แพร่,2023-05-01
5034,96,501,1774,ในเวียง,เมืองแพร่,แพร่,2023-05-01
5035,96,501,"14006 , 33690",เหมืองหม้อ,เมืองแพร่,แพร่,2023-05-01
5055,97,539,22355,เหนือเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,2023-05-16
5056,97,539,"8,172,163",ในเมือง,เมืองร้อยเอ็ด,ร้อยเอ็ด,2023-05-16
5078,98,541,75019,บางแม่นาง,บางใหญ่,นนทบุรี,2023-05-16
5079,98,541,75020,บางแม่นาง,บางใหญ่,นนทบุรี,2023-05-16
5080,98,541,163841,ท่างิ้ว,เมืองนครศรีธรรมราช,นครศรีธรรมราช,2023-05-16
5273,99,558,12219,กรอกสมบูรณ์,ศรีมหาโพธิ,ปราจีนบุรี,2023-05-23
5274,99,558,12414,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,2023-05-23
5275,99,558,6669,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,2023-05-23
5276,99,558,6668,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,2023-05-23
5277,99,558,28867,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,2023-05-23
5278,99,558,12422,ท่าตูม,ศรีมหาโพธิ,ปราจีนบุรี,2023-05-23
5279,99,558,15678,หัวหว้า,ศรีมหาโพธิ,ปราจีนบุรี,2023-05-23
5280,99,558,32750,กรอกสมบูรณ์,ศรีมหาโพธิ,ปราจีนบุรี,2023-05-23
5281,99,558,21805,หัวหว้า,ศรีมหาโพธิ,ปราจีนบุรี,2023-05-23
5282,99,558,3086,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,2023-05-23
5283,99,558,3036,ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,2023-05-23
5408,100,566,,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,2023-05-24
5423,101,571,"191707, 12270",สวนใหญ่,เมืองนนทบุรี,นนทบุรี,2023-05-24
5465,102,654,"6353, 6354, 6355, 6356, 6368",เมืองใหม่,ศรีบุญเรือง,หนองบัวลำภู,2023-06-07
5466,102,654,"18638, 18939",หันนางาม,ศรีบุญเรือง,หนองบัวลำภู,2023-06-07
5467,102,654,"18322, 30359",เมืองใหม่,ศรีบุญเรือง,หนองบัวลำภู,2023-06-07
5468,102,654,"6357, 6358, 6359, 6369",เมืองใหม่,ศรีบุญเรือง,หนองบัวลำภู,2023-06-07
5469,102,654,"34289, 34290, 34291",เมืองใหม่,ศรีบุญเรือง,หนองบัวลำภู,2023-06-07
5470,102,654,"18638, 18939",หันนางาม,ศรีบุญเรือง,หนองบัวลำภู,2023-06-07
5471,102,654,"18638, 18939",หันนางาม,ศรีบุญเรือง,หนองบัวลำภู,2023-06-07
6201,121,945,,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2023-07-07
5472,102,654,"18638, 18939",หันนางาม,ศรีบุญเรือง,หนองบัวลำภู,2023-06-07
5473,102,654,"18638, 18939",หันนางาม,ศรีบุญเรือง,หนองบัวลำภู,2023-06-07
5474,102,654,"18638, 18939",หันนางาม,ศรีบุญเรือง,หนองบัวลำภู,2023-06-07
5506,103,672,43229,คูคต,ลำลูกกา,ปทุมธานี,2023-06-07
5507,103,672,43167,คูคต,ลำลูกกา,ปทุมธานี,2023-06-07
5508,103,672,12783,คูคต,ลำลูกกา,ปทุมธานี,2023-06-07
5509,103,672,26968,คูคต,ลำลูกกา,ปทุมธานี,2023-06-07
5510,103,672,4512,สถาน,เชียงของ,เชียงราย,2023-06-07
5511,103,672,1963,สถาน,พญาไท,กรุงเทพมหานคร,2023-06-07
5512,103,672,18003,สถาน,เชียงของ,เชียงราย,2023-06-07
5526,90,673,28412,ลำผักชี,หนองจอก,กรุงเทพมหานคร,2023-05-30
5527,90,673,70428,กระทุ่มราย,หนองจอก,กรุงเทพมหานคร,2023-05-30
5539,104,676,134592,ออเงิน,สายไหม,กรุงเทพมหานคร,2023-05-30
5540,104,676,134592,ออเงิน,สายไหม,กรุงเทพมหานคร,2023-05-30
5541,104,676,137445,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2023-05-30
5542,104,676,143114,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2023-05-30
5543,104,676,143114,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2023-05-30
5544,104,676,12213,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2023-05-30
5545,104,676,12214,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2023-05-30
5546,104,676,12212,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2023-05-30
5574,105,692,6084,บางบอนใต้,บางบอน,กรุงเทพมหานคร,2023-05-30
5575,105,692,242463,วังทองหลาง,บางกะปิ,กรุงเทพมหานคร,2023-05-30
5612,106,713,,,สันทราย,เชียงใหม่,2023-06-13
5613,106,713,,,เมืองเชียงใหม่,เชียงใหม่,2023-06-13
5643,108,789,หมู่ 9,พุคำจาน,พระพุทธบาท,สระบุรี,2023-06-19
5813,110,791,"158,949,702",ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,2023-06-15
5814,110,791,1535,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,2023-06-15
5815,110,791,"3789,3795,3796,170600",บางซื่อ,บางซื่อ,กรุงเทพมหานคร,2023-06-15
5816,110,791,13177,ไร่น้อย,เมืองอุบลราชธานี,อุบลราชธานี,2023-06-15
5817,110,791,2554,ไร่น้อย,เมืองอุบลราชธานี,อุบลราชธานี,2023-06-15
5840,111,793,13654,ไชยวัฒนา,ปัว,น่าน,2023-06-15
5841,111,793,13654,ไชยวัฒนา,ปัว,น่าน,2023-06-15
5842,111,793,11281,พญาแก้ว,เชียงกลาง,น่าน,2023-06-15
5843,111,793,นส 3 ข เล่ม 47 หน้า 169 เลขที่ 96,บ่อ,เมืองน่าน,น่าน,2023-06-15
5844,111,793,75187,,ดุสิต,กรุงเทพมหานคร,2023-06-15
5863,112,794,"1,875,510,317",ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,2023-06-19
5864,112,794,"1,875,510,317",ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,2023-06-19
5897,114,801,2372,,,กรุงเทพมหานคร,2023-06-15
5898,114,801,290,,แม่สอด,ตาก,2023-06-15
5899,114,801,10909,แม่ปะ,แม่สอด,ตาก,2023-06-15
5900,114,801,13430,ระแหง,เมืองตาก,ตาก,2023-06-15
5901,114,801,2658,,เมืองตาก,ตาก,2023-06-15
5902,114,801,1907,แม่ระมาด,แม่ระมาด,ตาก,2023-06-15
5903,114,801,13/2539,บางกระสอ,,นนทบุรี,2023-06-15
5904,114,801,1/2532,,ดุสิต,กรุงเทพมหานคร,2023-06-15
5916,115,803,177,เกษตรวิสัย,เกษตรวิสัย,ร้อยเอ็ด,2023-06-19
5925,116,816,,ปลายบาง,บางกรวย,นนทบุรี,2023-06-19
5926,116,816,ที่ดินของรัฐ,จันทเขลม,เขาคิชฌกูฏ,จันทบุรี,2023-06-19
6019,118,886,"5530, 18397",ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,2023-06-12
6020,118,886,38086,บ้านเขว้า,บ้านเขว้า,ชัยภูมิ,2023-06-12
6021,118,886,"36705, 36706, 36707",ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,2023-06-12
6022,118,886,3640,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,2023-06-12
6023,118,886,92996,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,2023-06-12
6024,118,886,682,สามเสนใน,พญาไท,กรุงเทพมหานคร,2023-06-12
6025,118,886,22546,ช่องสามหมอ,แก้งคร้อ,ชัยภูมิ,2023-06-12
6026,118,886,33894,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,2023-06-12
6027,118,886,37035,ในเมือง,เมืองชัยภูมิ,ชัยภูมิ,2023-06-12
6046,119,898,10557,วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,2023-06-27
6047,119,898,"38,804,425",วัดท่าพระ,บางกอกใหญ่,กรุงเทพมหานคร,2023-06-27
6086,120,933,17667-127670,สีกัน,ดอนเมือง,กรุงเทพมหานคร,2023-06-27
6087,120,933,1657,วัดอรุณ,บางกอกใหญ่,กรุงเทพมหานคร,2023-06-27
6200,121,945,,ไทรม้า,เมืองนนทบุรี,นนทบุรี,2023-07-07
6202,121,945,,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2023-07-07
6203,121,945,,ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,2023-07-07
6218,122,949,น.ส. 3 ก 1553,,ขนอม,นครศรีธรรมราช,2023-07-11
6219,122,949,86148,,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,2023-07-11
6220,122,949,110936,,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,2023-07-11
6221,122,949,110937,,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,2023-07-11
6222,122,949,110938,,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,2023-07-11
6223,122,949,110939,,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,2023-07-11
6224,122,949,"110940, 8367",,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,2023-07-11
6269,123,950,113 เลขที่ดิน 1,เมืองคง,ราษีไศล,ศรีสะเกษ,2023-07-10
6270,123,950,113 เลขที่ดิน 1,หนองแค,ราษีไศล,ศรีสะเกษ,2023-07-10
6271,123,950,น.ส. 3ก เลขที่ 2045,เมืองคง,ราษีไศล,ศรีสะเกษ,2023-07-10
6272,123,950,113 เลขที่ดิน 1,หนองแค,ราษีไศล,ศรีสะเกษ,2023-07-10
6273,123,950,38709 เลขที่ดิน 6,เมืองคง,ราษีไศล,ศรีสะเกษ,2023-07-10
6274,123,950,114 เลขที่ดิน 2,เมืองคง,ราษีไศล,ศรีสะเกษ,2023-07-10
6275,123,950,994422174,สามเสนใน,พญาไท,กรุงเทพมหานคร,2023-07-10
6290,124,952,,ท่าวัง,เมืองนครศรีธรรมราช,นครศรีธรรมราช,2023-07-10
6291,124,952,23769,นาเรือง,พรหมคีรี,นครศรีธรรมราช,2023-07-10
6292,124,952,146994,โพธิ์เสด็จ,เมืองนครศรีธรรมราช,นครศรีธรรมราช,2023-07-10
6303,125,976,"9,10",มะนังตายอ,,นราธิวาส,2023-07-11
6304,125,976,44575,บางนาค,เมืองนราธิวาส,นราธิวาส,2023-07-11
6305,125,976,44575,บางนาค,เมืองนราธิวาส,นราธิวาส,2023-07-11
6349,126,1029,72597,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6350,126,1029,171974,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,2023-07-04
6351,126,1029,171976,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,2023-07-04
6352,126,1029,168304,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,2023-07-04
6353,126,1029,168305,ตลาดขวัญ,เมืองนนทบุรี,นนทบุรี,2023-07-04
6354,126,1029,184886,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6355,126,1029,184886,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6356,126,1029,184886,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6357,126,1029,184886,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6358,126,1029,184886,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6359,126,1029,184886,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6360,126,1029,209061,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6361,126,1029,209061,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6362,126,1029,209061,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6363,126,1029,209061,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6364,126,1029,209061,บางกร่าง,เมืองนนทบุรี,นนทบุรี,2023-07-04
6371,127,1035,,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,2023-07-10
6372,127,1035,,,เมืองพะเยา,พะเยา,2023-07-10
6406,128,1036,"37364-37367 , 37382-37389",ลาดพร้าว,บางกะปิ,กรุงเทพมหานคร,2023-07-11
6414,129,1038,54348,มหาชัย,เมืองสมุทรสาคร,สมุทรสาคร,2023-07-13
6415,129,1038,94512-94513,ท่าทราย,เมืองสมุทรสาคร,สมุทรสาคร,2023-07-13
6524,131,1057,21011,เขาน้อย,ปราณบุรี,ประจวบคีรีขันธ์,2023-07-07
6525,131,1057,"4,103,913",เขาน้อย,ปราณบุรี,ประจวบคีรีขันธ์,2023-07-07
6526,131,1057,1951,เขาน้อย,ปราณบุรี,ประจวบคีรีขันธ์,2023-07-07
6527,131,1057,47224,ปากน้ำปราณ,ปราณบุรี,ประจวบคีรีขันธ์,2023-07-07
6528,131,1057,11697,ปราณบุรี,ปราณบุรี,ประจวบคีรีขันธ์,2023-07-07
6529,131,1057,11698,ปราณบุรี,ปราณบุรี,ประจวบคีรีขันธ์,2023-07-07
6530,131,1057,43741,ปราณบุรี,ปราณบุรี,ประจวบคีรีขันธ์,2023-07-07
6531,131,1057,48413,ปราณบุรี,ปราณบุรี,ประจวบคีรีขันธ์,2023-07-07
6532,131,1057,52048,วังก์พง,ปราณบุรี,ประจวบคีรีขันธ์,2023-07-07
6533,131,1057,76084,พิชัย,เมืองลำปาง,ลำปาง,2023-07-07
6534,131,1057,"21,202,176",ด่านเกวียน,โชคชัย,นครราชสีมา,2023-07-07
6580,133,1061,28284,กุดตุ้ม,เมืองชัยภูมิ,ชัยภูมิ,2023-07-18
6602,134,1549,5,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,2019-10-15
6603,134,1549,18355,ปะหลาน,พยัคฆภูมิพิสัย,มหาสารคาม,2019-10-15
6605,134,1549,4393,,,กรุงเทพมหานคร,2019-10-15
6606,134,1549,90965,,เมืองขอนแก่น,ขอนแก่น,2019-10-15
6607,134,1549,"22031 , 102536",,เมืองมหาสารคาม,มหาสารคาม,2019-10-15
6630,105,1558,,,บางบอน,กรุงเทพมหานคร,2019-10-15
6631,105,1558,,วังทองหลาง,บางกะปิ,กรุงเทพมหานคร,2019-10-15
6709,136,1608,57048,บางพูน,เมืองปทุมธานี,ปทุมธานี,2019-10-15
6710,136,1608,18539-18540,คูบางหลวง,ลาดหลุมแก้ว,ปทุมธานี,2019-10-15
6764,137,1712,"1,786,505,632,243",ห้วยเหนือ,ขุขันธ์,ศรีสะเกษ,2019-10-15
6765,137,1712,23575,หนองฉลอง,ขุขันธ์,ศรีสะเกษ,2019-10-15
6766,137,1712,23575,หนองฉลอง,ขุขันธ์,ศรีสะเกษ,2019-10-15
6767,137,1712,195,ห้วยเหนือ,ขุขันธ์,ศรีสะเกษ,2019-10-15
6768,137,1712,165175,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,2019-10-15
6769,137,1712,123937,ในเมือง,เมืองอุบลราชธานี,อุบลราชธานี,2019-10-15
6849,94,1777,9233,ทับคล้อ,ทับคล้อ,พิจิตร,2019-10-15
6877,103,1806,43229,คูคต,ลำลูกกา,ปทุมธานี,2019-10-15
6878,103,1806,43167,คูคต,ลำลูกกา,ปทุมธานี,2019-10-15
6879,103,1806,64410,คูคต,ลำลูกกา,ปทุมธานี,2019-10-15
6880,103,1806,12783,ทานตะวัน,พาน,เชียงราย,2019-10-15
6881,103,1806,26968,สถาน,เชียงของ,เชียงราย,2019-10-15
6882,103,1806,4512,สถาน,เชียงของ,เชียงราย,2019-10-15
6883,103,1806,1963,สามเสนใน,พญาไท,กรุงเทพมหานคร,2019-10-15
6884,103,1806,18003,สถาน,เชียงของ,เชียงราย,2019-10-15
6902,141,1826,"141,174,141,175",รอบเวียง,เมืองเชียงราย,เชียงราย,2019-10-15
6903,141,1826,"48,925,016",เสนานิคม,จตุจักร,กรุงเทพมหานคร,2019-10-15
6977,142,1874,,ทุ่งกวาว,เมืองแพร่,แพร่,2019-10-15
6978,142,1874,,,เมืองแพร่,แพร่,2019-10-15
6979,142,1874,,ป่าแดด,เมืองเชียงใหม่,เชียงใหม่,2019-10-15
6980,142,1874,,ลาดยาว,จตุจักร,กรุงเทพมหานคร,2019-10-15
6981,142,1874,,ทุ่งกวาว,เมืองแพร่,แพร่,2019-10-15
6982,142,1874,,ในเวียง,เมืองแพร่,แพร่,2019-10-15
6983,142,1874,,ในเวียง,เมืองแพร่,แพร่,2019-10-15
6984,142,1874,,ในเวียง,เมืองแพร่,แพร่,2019-10-15
6985,142,1874,,แม่ยางฮ่อ,ร้องกวาง,แพร่,2019-10-15
7023,143,1894,22662,อ้อมเกร็ด,ปากเกร็ด,นนทบุรี,2019-10-15
7024,143,1894,47249,อ้อมเกร็ด,ปากเกร็ด,นนทบุรี,2019-10-15
7083,93,2027,73182,,ตลิ่งชัน,,2019-10-15
7084,93,2027,93441,จตุจักร,จตุจักร,กรุงเทพมหานคร,2019-10-15
7085,93,2027,93513-14,จตุจักร,จตุจักร,กรุงเทพมหานคร,2019-10-15
7086,93,2027,"2053, 2131",,จตุจักร,กรุงเทพมหานคร,2019-10-15
7087,93,2027,52787,หนองปลาหมอ,หนองแค,สระบุรี,2019-10-15
7088,93,2027,27184,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,2019-10-15
7089,93,2027,3645,คลองนครเนื่องเขต,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,2019-10-15
7177,147,2034,"13332,524 11",ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,2022-08-15
7178,147,2034,"1,230,514,261",ชะอำ,ชะอำ,เพชรบุรี,2022-08-15
7179,147,2034,12673,พญาเย็น,ปากช่อง,นครราชสีมา,2022-08-15
7180,147,2034,,,,,2022-08-15
7181,147,2034,7540,ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,2022-08-15
7182,147,2034,85058,สามพราน,,นครปฐม,2022-08-15
7183,147,2034,"3,455,727,391",ชะอม,แก่งคอย,สระบุรี,2022-08-15
7184,147,2034,"1,388,017,988",นนทรี,ยานนาวา,กรุงเทพมหานคร,2022-08-15
7185,147,2034,7988,นนทรี,ยานนาวา,กรุงเทพมหานคร,2022-08-15
7186,147,2034,7540,นนทรี,ยานนาวา,กรุงเทพมหานคร,2022-08-15
7187,147,2034,45630,นนทรี,ยานนาวา,กรุงเทพมหานคร,2022-08-15
7188,147,2034,59075,นนทรี,ยานนาวา,กรุงเทพมหานคร,2022-08-15
7244,150,2080,3994/283,สันทรายหลวง,สันทราย,เชียงใหม่,2019-10-15
7245,150,2080,3994/284,สันทรายหลวง,สันทราย,เชียงใหม่,2019-10-15
7281,42,2094,"2,042,920,430",ปากเกร็ด,ปากเกร็ด,นนทบุรี,2019-10-15
7311,101,2095,12269,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,2019-10-15
7330,154,537,,,,ปทุมธานี,2023-05-16
7331,154,537,,,,ปทุมธานี,2023-05-16
7341,155,2283,1830,ขุนแก้ว,นครชัยศรี,นครปฐม,2019-10-15
7342,155,2283,95230,หนองปากโลง,เมืองนครปฐม,นครปฐม,2019-10-15
7380,156,2291,121475,คลองเจ้าคุณสิงห์,วังทองหลาง,กรุงเทพมหานคร,2019-10-15
